DT,COMP_PRD_NO,COMP_STOCK_NO,BASE_QTY,INCM_QTY,END_QTY,ORD_CNT,ORD_QTY,MIN_ACTUAL_PAY,MED_ACTUAL_PAY,EVNT_11ST_2016,EVNT_MW_HOT_ISSUE,EVNT_MW_SHCK_DEAL,EVNT_MW_LOWER_BANS,EVNT_NOW_BANS,EVNT_OTHERS
2017-07-10,1624714294,6252686295,2618,0,2391,109,185,15700,17200,N,N,N,N,N,Y
2017-07-11,1624714294,6252686295,2391,0,2087,246,430,13975,15775,N,N,N,N,N,N
2017-07-13,1624714294,6252686295,1720,0,1526,124,242,17028,17200,N,N,N,N,N,N
2017-07-14,1624714294,6252686295,1526,0,1286,94,150,17030,17200,N,N,N,N,N,N
2017-07-17,1624714294,6252686295,1213,640,1526,157,203,15460,17450,N,N,N,N,N,Y
2017-07-15,1624714294,6252686295,1286,0,1213,51,74,17280,17760,N,N,N,N,N,N
2017-07-16,1624714294,6252686295,1213,0,1213,98,138,17280,17760,N,N,N,N,N,N
2017-07-18,1624714294,6252686295,1526,0,1347,123,176,16795,19242,N,N,N,N,N,Y
2017-07-21,1624714294,6252686295,949,0,772,71,113,16720,17770,N,N,N,N,N,Y
2017-07-19,1624714294,6252686295,1347,0,1176,162,227,16300,18025,N,N,N,N,N,Y
2017-07-20,1624714294,6252686295,1176,0,949,149,206,14805,17860,N,N,N,N,N,Y
2017-07-22,1624714294,6252686295,772,0,772,39,66,17450,17775,N,N,N,N,N,Y
2017-07-25,1624714294,6252686295,1079,0,867,136,228,14065,15980,N,N,N,N,N,Y
2017-07-23,1624714294,6252686295,772,0,666,80,102,17441,17775,N,N,N,N,N,Y
2017-07-24,1624714294,6252686295,666,640,1079,135,224,13678,15980,N,N,N,N,N,Y
2017-07-26,1624714294,6252686295,867,640,1280,115,195,14065,15975,N,N,N,N,N,Y
2017-07-29,1624714294,6252686295,978,0,978,41,71,15521,17613,N,N,N,N,N,Y
2017-07-27,1624714294,6252686295,1280,0,1116,86,148,13712,15980,N,N,N,N,N,Y
2017-07-28,1624714294,6252686295,1116,0,978,90,145,12870,15825,N,N,N,N,N,Y
2017-07-30,1624714294,6252686295,978,0,820,49,85,15677,17613,N,N,N,N,N,Y
2017-08-02,1624714294,6252686295,394,640,870,81,145,17441,17950,N,N,N,N,Y,Y
2017-07-31,1624714294,6252686295,820,0,611,143,247,15521,15980,N,N,N,N,Y,Y
2017-08-01,1624714294,6252686295,611,0,394,92,175,17441,17950,N,N,N,N,Y,Y
2017-08-03,1624714294,6252686295,870,0,751,61,107,17613,17950,N,N,N,N,Y,Y
2017-08-06,1624714294,6252686295,625,0,483,64,111,17613,17950,N,N,N,N,Y,Y
2017-08-04,1624714294,6252686295,751,0,625,76,141,17584,17950,N,N,N,N,Y,Y
2017-08-05,1624714294,6252686295,625,0,625,38,64,17441,17950,N,N,N,N,Y,Y
2017-08-07,1624714294,6252686295,483,170,472,81,147,17613,17950,N,N,N,N,N,N
2017-08-10,1624714294,6252686295,1531,640,2041,67,127,17441,17950,N,N,N,N,N,N
2017-08-08,1624714294,6252686295,472,640,1000,75,121,17613,17950,N,N,N,N,N,N
2017-08-09,1624714294,6252686295,1000,640,1531,49,96,17203,17950,N,N,N,N,N,N
2017-08-11,1624714294,6252686295,2041,640,2159,477,890,13852,14948,N,N,N,Y,N,Y
2017-08-14,1624714294,6252686295,1727,0,1615,64,134,16360,17385,N,N,N,N,N,N
2017-08-12,1624714294,6252686295,2159,0,2159,20,37,18950,20250,N,N,N,N,N,N
2017-08-13,1624714294,6252686295,2159,0,1727,29,36,17950,19471,N,N,N,N,N,N
2017-08-15,1624714294,6252686295,1615,0,1488,74,133,16981,17385,N,N,N,N,N,N
2017-08-18,1624714294,6252686295,1068,0,986,59,113,16981,17385,N,N,N,N,N,N
2017-08-16,1624714294,6252686295,1488,0,1292,117,227,16981,17385,N,N,N,N,N,N
2017-08-17,1624714294,6252686295,1292,0,1068,90,169,16720,17385,N,N,N,N,N,N
2017-08-19,1624714294,6252686295,986,0,986,38,79,17212,17385,N,N,N,N,N,N
2017-08-22,1624714294,6252686295,565,0,419,61,123,16885,17385,N,N,N,N,N,N
2017-08-20,1624714294,6252686295,986,0,765,77,142,17078,17385,N,N,N,N,N,N
2017-08-21,1624714294,6252686295,765,0,565,92,179,17215,17385,N,N,N,N,N,N
2017-08-23,1624714294,6252686295,419,640,951,67,120,17215,17385,N,N,N,N,N,N
2017-08-26,1624714294,6252686295,1412,0,1412,16,28,17775,18450,N,N,N,N,N,Y
2017-08-24,1624714294,6252686295,951,0,852,47,72,17775,18610,N,N,N,N,N,Y
2017-08-25,1624714294,6252686295,852,640,1412,54,98,17775,17950,N,N,N,N,N,Y
2017-08-27,1624714294,6252686295,1412,0,1324,37,60,17775,17950,N,N,N,N,N,Y
2017-08-30,1624714294,6252686295,1060,0,909,75,111,17119,17385,N,N,N,N,Y,N
2017-08-28,1624714294,6252686295,1324,0,1207,78,135,17213,17385,N,N,N,N,N,N
2017-08-29,1624714294,6252686295,1207,0,1060,84,159,17213,17385,N,N,N,N,N,N
2017-08-31,1624714294,6252686295,909,0,775,104,177,16720,17385,N,N,N,N,Y,N
2017-09-03,1624714294,6252686295,560,0,372,53,97,16885,17385,N,N,N,N,Y,N
2017-09-01,1624714294,6252686295,775,0,560,116,198,16885,17385,N,N,N,N,Y,N
2017-09-02,1624714294,6252686295,560,0,560,54,101,16885,17385,N,N,N,N,Y,N
2017-09-04,1624714294,6252686295,372,0,208,104,176,16885,17385,N,N,N,N,Y,N
2017-09-07,1624714294,6252686295,609,0,483,73,146,17028,18369,N,N,N,N,N,N
2017-09-05,1624714294,6252686295,208,0,12,63,120,16885,17385,N,N,N,N,Y,N
2017-09-06,1624714294,6252686295,12,640,609,36,73,16885,17385,N,N,N,N,N,N
2017-09-08,1624714294,6252686295,483,0,390,32,54,18188,18369,N,N,N,N,N,N
2017-09-11,1624714294,6252686295,16,0,12,1,1,17170,17170,N,N,N,N,N,N
2017-09-09,1624714294,6252686295,390,0,390,281,365,10640,17550,N,N,N,Y,N,N
2017-09-10,1624714294,6252686295,390,0,16,2,2,16360,16870,N,N,N,Y,N,N
2017-09-12,1624714294,6252686295,12,0,9,1,2,18370,18370,N,N,N,N,N,N
2017-09-15,1624714294,6252686295,1632,0,1608,12,22,16705,19140,N,N,N,N,N,N
2017-09-13,1624714294,6252686295,9,384,388,5,10,16705,18120,N,N,N,N,N,N
2017-09-14,1624714294,6252686295,388,1280,1632,21,38,16705,17370,N,N,N,N,N,N
2017-09-16,1624714294,6252686295,1608,0,1608,5,13,18950,19830,N,N,N,N,N,N
